"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","X","URN","Local.authority..code.","Local.authority..name.","Establishment.number","Establishment.name","Street","Locality","Address3","Town","County","Postcode","Type.of.establishment","Statutory.highest.age","Statutory.lowest.age","Boarders","Sixth.form","UKPRN","Phase.of.education","Gender","Religious.character","Religious.ethos","Admissions.policy","Website.address","Telephone.number","Headteacher","Establishment.status","Reason.establishment.opened","Opening.date","Parliamentary.Constituency..code.","Parliamentary.Constituency..name.","Region","gg_address","lon","lat"
"11",11,11,11,11,11,11,11,11,100011,202,"Camden",2078,"Brookfield Primary School","Chester Road","","","London","","N19 5DH","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.brookfield.camden.sch.uk/",2072729627,"Mr Mark Stubbings","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Brookfield Primary School, Chester Road, N19 5DH",-0.1447506,51.5636392
"12",12,12,12,12,12,12,12,12,100012,202,"Camden",2095,"Carlton Primary School","Grafton Road","","","London","","NW5 4AX","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.carlton.camden.sch.uk/",2074851947,"Ms Jacqueline Phelan","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Carlton Primary School, Grafton Road, NW5 4AX",-0.1495275,51.5516359
"13",13,13,13,13,13,13,13,13,100013,202,"Camden",2184,"Edith Neville Primary School","174 Ossulston Street","","","London","","NW1 1DN","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.edithneville.camden.sch.uk/",2073877158," Ruby Nasser","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Edith Neville Primary School, 174 Ossulston Street, NW1 1DN",-0.1311805,51.5327531
"14",14,14,14,14,14,14,14,14,100014,202,"Camden",2219,"Fleet Primary School","Fleet Road","","","London","","NW3 2QT","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.fleet.camden.sch.uk/",2074852028," Donald McGibbon","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Fleet Primary School, Fleet Road, NW3 2QT",-0.1594798,51.5534307
"15",15,15,15,15,15,15,15,15,100015,202,"Camden",2290,"Hawley Primary School","Hawley Road","","","London","","NW1 8RP","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.hawley.camden.sch.uk/",2074855020,"Ms A Fontaine","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Hawley Primary School, Hawley Road, NW1 8RP",-0.1430562,51.5425989
"16",16,16,16,16,16,16,16,16,100018,202,"Camden",2436,"Netley Primary School & Centre for Autism","74 Stanhope Street","","","London","","NW1 3EX","Community School",11,2,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.netley.camden.sch.uk/",2037720350,"Ms Bavaani Nanthabalan","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Netley Primary School & Centre for Autism, 74 Stanhope Street, NW1 3EX",-0.140574,51.5278924
"17",17,17,17,17,17,17,17,17,100019,202,"Camden",2438,"New End Primary School","Streatley Place","Hampstead","","London","","NW3 1HU","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.newend.camden.sch.uk/",2074310961,"Ms Karyn Ray","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","New End Primary School, Streatley Place, NW3 1HU",-0.1769587,51.5578847
"18",18,18,18,18,18,18,18,18,100020,202,"Camden",2475,"Primrose Hill School","Princess Road","","","London","","NW1 8JL","Community School",11,2,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.primrosehill.camden.sch.uk/",2077228500,"Mr Robin Warren","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Primrose Hill School, Princess Road, NW1 8JL",-0.1515326,51.539472
"19",19,19,19,19,19,19,19,19,100021,202,"Camden",2502,"Rhyl Primary School","Rhyl Street","","","London","","NW5 3HB","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.rhylprim.camden.sch.uk/",2074854899,"Ms Helen Connor","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Rhyl Primary School, Rhyl Street, NW5 3HB",-0.1503423,51.5477463
"20",20,20,20,20,20,20,20,20,100022,202,"Camden",2507,"Richard Cobden Primary School","Camden Street","","","London","","NW1 0LL","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.rcobden.camden.sch.uk/",2073875909,"Mrs Kathy Bannon","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Richard Cobden Primary School, Camden Street, NW1 0LL",-0.1362423,51.5355882
"21",21,21,21,21,21,21,21,21,100023,202,"Camden",2603,"Torriano Primary School","Torriano Avenue","Kentish Town","","London","","NW5 2SJ","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.torriano.camden.sch.uk/",2074240202," Helen Bruckdorfer","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Torriano Primary School, Torriano Avenue, NW5 2SJ",-0.1323506,51.5488214
"22",22,22,22,22,22,22,22,22,100025,202,"Camden",2775,"Gospel Oak Primary School","Mansfield Road","","","London","","NW3 2JB","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.gospeloak.camden.sch.uk",2074857435,"Mr John Hayes","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Gospel Oak Primary School, Mansfield Road, NW3 2JB",-0.152077,51.5549609
"23",23,23,23,23,23,23,23,23,100026,202,"Camden",2797,"Fitzjohn's Primary School","86A Fitzjohn's Avenue","","","London","","NW3 6NP","Community School",11,4,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.fitzjohns.camden.sch.uk/",2074359797,"Mr Rob Earrey","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Fitzjohn's Primary School, 86A Fitzjohn's Avenue, NW3 6NP",-0.1759412,51.5533567
"24",24,24,24,24,24,24,24,24,100027,202,"Camden",2841,"Eleanor Palmer Primary School","Lupton Street","","","London","","NW5 2JA","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.eleanorpalmer.camden.sch.uk/",2074852155,"Mrs Kate Frood","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Eleanor Palmer Primary School, Lupton Street, NW5 2JA",-0.1386946,51.5546335
"25",25,25,25,25,25,25,25,25,100028,202,"Camden",3323,"Christ Church Primary School, Hampstead","Christ Church Hill","","","London","","NW3 1JH","Voluntary Aided School",11,4,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.christchurchschool.co.uk/",2074351361,"Mrs Katy Forsdyke","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Christ Church Primary School, Hampstead, Christ Church Hill, NW3 1JH",-0.1763079,51.5596747
"26",26,26,26,26,26,26,26,26,100029,202,"Camden",3327,"Christ Church School","Redhill Street","Camden","","London","","NW1 4BD","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.cchurchnw1.camden.sch.uk",2073877881,"Ms Paula Walker","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Christ Church School, Redhill Street, NW1 4BD",-0.144064,51.5309857
"27",27,27,27,27,27,27,27,27,100030,202,"Camden",3340,"Emmanuel Church of England Primary School","152-158 Mill Lane","West Hampstead","","London","","NW6 1TF","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.emmanuel.camden.sch.uk/",2074317984,"Miss Kathryn Fitzsimmons","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Emmanuel Church of England Primary School, 152-158 Mill Lane, NW6 1TF",-0.1944265,51.5519518
"28",28,28,28,28,28,28,28,28,100031,202,"Camden",3352,"Hampstead Parochial Church of England Primary School","Holly Bush Vale","","","London","","NW3 6TX","Voluntary Aided School",11,4,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.hampsteadprim.camden.sch.uk/",2074354135,"Mr Alan McLean","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Hampstead Parochial Church of England Primary School, Holly Bush Vale, NW3 6TX",-0.1788795,51.5563462
"29",29,29,29,29,29,29,29,29,100032,202,"Camden",3359,"Holy Trinity CofE Primary School, NW3","Trinity Walk","Maresfield Gardens","","London","","NW3 5SQ","Voluntary Aided School",11,4,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","www.holytrinitynw3.co.uk",2074359089,"Mrs Laura Hall","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Holy Trinity CofE Primary School, NW3, Trinity Walk, NW3 5SQ",-0.1777421,51.5462934
"30",30,30,30,30,30,30,30,30,100033,202,"Camden",3361,"Holy Trinity and Saint Silas CofE Primary School, NW1","Hartland Road","","","London","","NW1 8DE","Voluntary Aided School",11,4,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.holytrinitynw1.camden.sch.uk/",2072670771,"Ms Lorraine Dolan","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Holy Trinity and Saint Silas CofE Primary School, NW1, Hartland Road, NW1 8DE",-0.1457605,51.5441218
"31",31,31,31,31,31,31,31,31,100034,202,"Camden",3370,"Kentish Town Church of England Primary School","Islip Street","","","London","","NW5 2TU","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.kentishtown.camden.sch.uk/",2074851279,"Mr James Vincent Humphries","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Kentish Town Church of England Primary School, Islip Street, NW5 2TU",-0.1390167,51.5496318
"32",32,32,32,32,32,32,32,32,100035,202,"Camden",3391,"Rosary Roman Catholic Primary School","238 Haverstock Hill","Hampstead","","London","","NW3 2AE","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Roman Catholic","Does not apply","Not applicable","http://www.rosary.camden.sch.uk/",2077946292,"Ms Isobel Gaffney","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Rosary Roman Catholic Primary School, 238 Haverstock Hill, NW3 2AE",-0.1662796,51.5518557
"33",33,33,33,33,33,33,33,33,100036,202,"Camden",3398,"St Alban's Church of England Primary School","Baldwins Gardens","Holborn","","London","","EC1N 7SD","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","www.stalbanscamden.co.uk",2072428585,"Mrs Mary Thorne","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St Alban's Church of England Primary School, Baldwins Gardens, EC1N 7SD",-0.1112253,51.5201319
"34",34,34,34,34,34,34,34,34,100037,202,"Camden",3400,"St Aloysius Catholic Primary School","Aldenham Street","","","London","","NW1 1PS","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Roman Catholic","Does not apply","Not applicable","http://www.acps.camden.sch.uk/",2073873551,"Ms Clare McFlynn","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St Aloysius Catholic Primary School, Aldenham Street, NW1 1PS",-0.1345121,51.531589
"35",35,35,35,35,35,35,35,35,100039,202,"Camden",3429,"St Dominic's Catholic Primary School","Southampton Road","","","London","","NW5 4JS","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Roman Catholic","Does not apply","Not applicable","http://www.stdominics.camden.sch.uk/",2074855918," Jennifer O'Prey","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St Dominic's Catholic Primary School, Southampton Road, NW5 4JS",-0.1573605,51.5512699
"36",36,36,36,36,36,36,36,36,100040,202,"Camden",3441,"St George the Martyr Church of England Primary School","John's Mews","","","London","","WC1N 2NX","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.stgeorge.camden.sch.uk/",2074055640,"Mr Adam Young","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St George the Martyr Church of England Primary School, John's Mews, WC1N 2NX",-0.1166018,51.5223833
"37",37,37,37,37,37,37,37,37,100041,202,"Camden",3482,"St Josephs Catholic Primary School","Macklin Street","Covent Garden","","London","","WC2B 5NA","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Roman Catholic","Does not apply","Not applicable","http://www.stjosephs.camden.sch.uk/",2072427712,"Miss Helen Tyler","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St Josephs Catholic Primary School, Macklin Street, WC2B 5NA",-0.1220936,51.5161453
"38",38,38,38,38,38,38,38,38,100042,202,"Camden",3517,"St Mary's Kilburn Church of England Primary School","Quex Road","Kilburn","","London","","NW6 4PG","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.stmarykilburn.camden.sch.uk/",2073726565,"Mr Harvey Webb","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","St Mary's Kilburn Church of England Primary School, Quex Road, NW6 4PG",-0.1923257,51.5406922
"39",39,39,39,39,39,39,39,39,100043,202,"Camden",3521,"St Mary and St Pancras Church of England Primary School","81 Werrington Street","","","London","","NW1 1QP","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","www.stmp.camden.sch.uk",2073876117," Jules Belton","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St Mary and St Pancras Church of England Primary School, 81 Werrington Street, NW1 1QP",-0.1339825,51.5316895
"40",40,40,40,40,40,40,40,40,100044,202,"Camden",3546,"St Michael's Church of England Primary School","88 Camden Street","","","London","","NW1 0JA","Voluntary Aided School",11,4,"No Boarders","Does not have a sixth form",10046787,"Primary","Mixed","Church of England","Does not apply","Not applicable","www.stmichaels.camden.sch.uk/",2074858965,"Ms Clare Dyson","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St Michael's Church of England Primary School, 88 Camden Street, NW1 0JA",-0.1380592,51.5388706
"41",41,41,41,41,41,41,41,41,100045,202,"Camden",3560,"St Patrick's Catholic Primary School","Holmes Road","","","London","","NW5 3AH","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Roman Catholic","Does not apply","Not applicable","http://www.stpatricks.camden.sch.uk/",2072671200,"Mr Sean Cranitch","Open","Not applicable","","E14000750","Holborn and St Pancras","London","St Patrick's Catholic Primary School, Holmes Road, NW5 3AH",-0.1429343,51.5492199
"42",42,42,42,42,42,42,42,42,100046,202,"Camden",3568,"St Paul's Church of England Primary School","Elsworthy Road","Primrose Hill","","London","","NW3 3DS","Voluntary Aided School",11,4,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Church of England","Does not apply","Not applicable","http://www.stpauls.camden.sch.uk/",2077227381,"Mr Clive Hale","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","St Paul's Church of England Primary School, Elsworthy Road, NW3 3DS",-0.162646,51.5417725
"43",43,43,43,43,43,43,43,43,100047,202,"Camden",3649,"St Eugene de Mazenod Roman Catholic Primary School","Mazenod Avenue","","","London","","NW6 4LS","Voluntary Aided School",11,4,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Roman Catholic","Does not apply","Not applicable","http://www.steugene.camden.sch.uk/",2076244837,"Miss Juliette Jackson","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","St Eugene de Mazenod Roman Catholic Primary School, Mazenod Avenue, NW6 4LS",-0.1939437,51.5410834
"44",44,44,44,44,44,44,44,44,100048,202,"Camden",3655,"Our Lady Roman Catholic Primary School","Pratt Street","Camden","","London","","NW1 0DP","Voluntary Aided School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Roman Catholic","Does not apply","Not applicable","",2074857997,"Ms Moya Richardson","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Our Lady Roman Catholic Primary School, Pratt Street, NW1 0DP",-0.1378686,51.538996
"45",45,45,45,45,45,45,45,45,100049,202,"Camden",4104,"Haverstock School","24 Haverstock Hill","Chalk Farm","","London","","NW3 2BQ","Community School",18,11,"No Boarders","Has a sixth form",10002938,"Secondary","Mixed","Does not apply","Does not apply","Comprehensive (secondary)","http://www.haverstock.camden.sch.uk/",2072670975,"Mr John Dowd","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Haverstock School, 24 Haverstock Hill, NW3 2BQ",-0.154146,51.5447125
"46",46,46,46,46,46,46,46,46,100050,202,"Camden",4166,"Parliament Hill School","Highgate Road","","","London","","NW5 1RL","Community School",18,11,"No Boarders","Has a sixth form",10004992,"Secondary","Girls","Does not apply","Does not apply","Comprehensive (secondary)","http://www.parliamenthill.camden.sch.uk/",2074857077,"Ms Susan Higgins","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Parliament Hill School, Highgate Road, NW5 1RL",-0.1493582,51.5583777
"47",47,47,47,47,47,47,47,47,100051,202,"Camden",4196,"Regent High School","Chalton Street","Camden","","London","","NW1 1RX","Community School",18,11,"No Boarders","Has a sixth form",10005970,"Secondary","Mixed","Does not apply","Does not apply","Comprehensive (secondary)","http://www.regenthighschool.org.uk/",2073870126,"Mr Gary Moore","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Regent High School, Chalton Street, NW1 1RX",-0.1330541,51.5335801
"48",48,48,48,48,48,48,48,48,100052,202,"Camden",4275,"Hampstead School","Westbere Road","Hampstead","","London","","NW2 3RT","Community School",18,11,"No Boarders","Has a sixth form",10002876,"Secondary","Mixed","Does not apply","Does not apply","Comprehensive (secondary)","http://www.hampsteadschool.org.uk/",2077948133,"Mr Jacques Szemalikowski","Open","Not applicable","","E14000727","Hampstead and Kilburn","London","Hampstead School, Westbere Road, NW2 3RT",-0.2078819,51.5554757
"49",49,49,49,49,49,49,49,49,100053,202,"Camden",4285,"Acland Burghley School","Burghley Road","","","London","","NW5 1UJ","Community School",18,11,"No Boarders","Has a sixth form",10000101,"Secondary","Mixed","Does not apply","Does not apply","Comprehensive (secondary)","http://www.aclandburghley.camden.sch.uk/",2074858515,"Mr Nicholas John","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Acland Burghley School, Burghley Road, NW5 1UJ",-0.1396506,51.5573971
"50",50,50,50,50,50,50,50,50,100054,202,"Camden",4611,"The Camden School for Girls","Sandall Road","","","London","","NW5 2DB","Voluntary Aided School",18,11,"No Boarders","Has a sixth form",10000001,"Secondary","Girls","None","Does not apply","Comprehensive (secondary)","http://www.camdengirls.camden.sch.uk",2074853414,"Ms Elizabeth Kitcatt","Open","Not applicable","","E14000750","Holborn and St Pancras","London","The Camden School for Girls, Sandall Road, NW5 2DB",-0.1347663,51.5460607
"51",51,51,51,51,51,51,51,51,100055,202,"Camden",4652,"Maria Fidelis Roman Catholic Convent School FCJ","34 Phoenix Road","","","London","","NW1 1TA","Voluntary Aided School",18,11,"No Boarders","Has a sixth form",10004201,"Secondary","Mixed","Roman Catholic","Does not apply","Comprehensive (secondary)","http://www.mariafidelis.camden.sch.uk/",2073873856,"Mrs Helen Gill","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Maria Fidelis Roman Catholic Convent School FCJ, 34 Phoenix Road, NW1 1TA",-0.1322536,51.5297935
"52",52,52,52,52,52,52,52,52,100056,202,"Camden",4688,"William Ellis School","Highgate Road","","","London","","NW5 1RN","Voluntary Aided School",18,11,"No Boarders","Has a sixth form",10007511,"Secondary","Boys","None","Does not apply","Comprehensive (secondary)","http://www.williamellis.camden.sch.uk/",2072679346,"Mr Sam White","Open","Not applicable","","E14000750","Holborn and St Pancras","London","William Ellis School, Highgate Road, NW5 1RN",-0.1506249,51.5588254
"53",53,53,53,53,53,53,53,53,100059,202,"Camden",5401,"La Sainte Union Catholic Secondary School","Highgate Road","","","London","","NW5 1RP","Voluntary Aided School",18,11,"No Boarders","Has a sixth form",10003733,"Secondary","Girls","Roman Catholic","Does not apply","Comprehensive (secondary)","http://www.lasainteunion.org.uk/",2074284600,"Mrs Maureen Williams","Open","Not applicable","","E14000750","Holborn and St Pancras","London","La Sainte Union Catholic Secondary School, Highgate Road, NW5 1RP",-0.1493416,51.5598955
"54",54,54,54,54,54,54,54,54,100060,202,"Camden",5950,"Children's Hospital School at Gt Ormond Street and UCH","Great Ormond Street","Camden","","London","","WC1N 3JH","Foundation Special School",16,4,"No Boarders","Not applicable",10015430,"Not applicable","Mixed","Does not apply","Does not apply","Not applicable","http://www.gosh.camden.sch.uk",2078138269,"Ms Jayne Franklin","Open","Not applicable","","E14000750","Holborn and St Pancras","London","Children's Hospital School at Gt Ormond Street and UCH, Great Ormond Street, WC1N 3JH",-0.1207462,51.5218626
"55",55,55,55,55,55,55,55,55,100061,202,"Camden",6013,"St Christopher's School","32 Belsize Lane","","","London","","NW3 5AE","Other Independent School",11,4,"No Boarders","Does not have a sixth form",NA,"Not applicable","Girls","None","Inter- / non- denominational","Not collected","",2074351521,"Mrs Christine Lough","Open","Not applicable","01/01/1924","E14000727","Hampstead and Kilburn","London","St Christopher's School, 32 Belsize Lane, NW3 5AE",-0.1699505,51.5510152
"56",56,56,56,56,56,56,56,56,100062,202,"Camden",6014,"St Margaret's School","18 Kidderpore Gardens","","","London","","NW3 7SR","Other Independent School",16,4,"No Boarders","Does not have a sixth form",10017630,"Not applicable","Girls","None","Church of England","Not collected","http://www.st-margarets.co.uk/",2074352439,"Mr Mark Webster","Open","Not applicable","01/01/1920","E14000727","Hampstead and Kilburn","London","St Margaret's School, 18 Kidderpore Gardens, NW3 7SR",-0.1902727,51.5578519
"57",57,57,57,57,57,57,57,57,100063,202,"Camden",6016,"Sarum Hall School","15 Eton Avenue","","","London","","NW3 3EL","Other Independent School",11,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Girls","Church of England","Church of England","Non-selective","",2077942261,"Mrs Christine Smith","Open","Not applicable","01/01/1934","E14000727","Hampstead and Kilburn","London","Sarum Hall School, 15 Eton Avenue, NW3 3EL",-0.1657366,51.544917
